id,name,developer,publisher,region,releaseDate,category,esrb,players,upc,board,sortName,UnitsSold
NES-DV-USA,Chip 'n Dale: Rescue Rangers 2,Make Software,Capcom,NTSC (N. America),1994-01,Platformer,Everyone,2,13388110346,NES-SKEPROM,CHIP 'N DALE: RESCUE RANGERS 2,
NES-CB-USA,Chubby Cherub,TOSE,Bandai,NTSC (N. America),1986-10,Action & Adventure,Everyone,2,7.85E+11,NES-NROM-256,CHUBBY CHERUB,
NES-M7-USA,Circus Caper,Advance Communication Company,Toho,NTSC (N. America),1990-07,Action & Adventure,Everyone,1,91521100027,NES-SLROM,CIRCUS CAPER,
NES-CI-USA,City Connection,Jaleco,Jaleco,NTSC (N. America),1988-05,Action & Adventure,Everyone,2,32264900024,NES-CNROM,CITY CONNECTION,
NES-B6-USA,Clash at Demonhead,Vic Tokai,Vic Tokai,NTSC (N. America),1990-01,Action & Adventure,Everyone,1,34912784550,NES-SLROM,CLASH AT DEMONHEAD,
NES-C8-USA,Classic Concentration,Softie,GameTek,NTSC (N. America),1990-09,Strategy,Everyone,2,51871023582,NES-UNROM,CLASSIC CONCENTRATION,
NES-HG-USA,Cliffhanger,Spidersoft,Sony Imagesoft,NTSC (N. America),1993-11,Action & Adventure,Everyone,1,90451306035,NES-TLROM,CLIFFHANGER,
NES-CL-USA,Clu Clu Land,Nintendo Research & Development 1,Nintendo,NTSC (N. America),1985-10-18,Puzzle,Everyone,2,2.33E+11,NES-RROM-128,CLU CLU LAND,
NES-CN-USA,Cobra Command,Data East,Data East,NTSC (N. America),1988-11,Shooter,Everyone,1,13252002104,NES-SLROM,COBRA COMMAND,
NES-CU-USA,Cobra Triangle,Rare,Nintendo,NTSC (N. America),1989-07,Action & Adventure,Everyone,1,45496630478,NES-ANROM,COBRA TRIANGLE,
NES-VP-USA,Code Name: Viper,"Arc System Works, Capcom",Capcom,NTSC (N. America),1990-03,Action & Adventure,Everyone,1,13388110216,NES-TLROM,CODE NAME: VIPER,
NES-CD-USA,Color a Dinosaur,FarSight Studios,Virgin Interactive,NTSC (N. America),1993-07,Puzzle,Everyone,1,52145800106,NES-UNROM,COLOR A DINOSAUR,
NES-CO-USA,Commando,Capcom,Capcom,NTSC (N. America),1986-11,Shooter,Everyone,2,13388110018,NES-UNROM,COMMANDO,"1,140,000"
NES-YY-USA,Conan: The Mysteries of Time,Mindscape,Mindscape,NTSC (N. America),1991-02,Action & Adventure,Everyone,1,50047105008,NES-UNROM,CONAN: THE MYSTERIES OF TIME,
NES-C3-USA,Conflict,Vic Tokai,Vic Tokai,NTSC (N. America),1990-03,Shooter,Everyone,2,34912784635,NES-SKROM,CONFLICT,
NES-7M-USA,Conquest of the Crystal Palace,Quest,Asmik,NTSC (N. America),1990-11,Strategy,Everyone,1,96066900033,NES-TLROM,CONQUEST OF THE CRYSTAL PALACE,
NES-CT-USA,Contra,Konami,Konami,NTSC (N. America),1988-02,Shooter,Everyone,2,15812890244,NES-UNROM,CONTRA,
NES-CR-USA,Contra Force,Konami,Konami,NTSC (N. America),1992-09,Shooter,Everyone,2,83717110286,NES-TLROM,CONTRA FORCE,
NES-CX-USA,Cool World,Ocean Software,Ocean Software,NTSC (N. America),1993-06,Action & Adventure,Everyone,1,20295010065,NES-SLROM,COOL WORLD,
NES-9C-USA,Cowboy Kid,Pixel,Romstar,NTSC (N. America),1992-01,Action & Adventure,Everyone,2,95474180105,NES-TLROM,COWBOY KID,
UNR-05-USA,Crackout,Konami,Unreleased,NTSC (N. America),N/A,Action & Adventure,N/A,N/A,N/A,KONAMI-UNROM,CRACKOUT,
NES-S8-USA,Crash 'n the Boys: Street Challenge,Techn?s Japan,Techn?s Japan,NTSC (N. America),1992-10,Sports,Everyone,4,45496640019,NES-TLROM,CRASH 'N THE BOYS: STREET CHALLENGE,
NES-G0-USA,Crystalis,SNK,SNK,NTSC (N. America),1990-07,RPG,Everyone,1,11170010430,NES-TKROM,CRYSTALIS,
NES-4Y-USA,Cyberball,Jaleco,Jaleco,NTSC (N. America),1991-03,Action & Adventure,Everyone,2,32264900215,NES-TLROM,CYBERBALL,
NES-YN-USA,Cybernoid: The Fighting Machine,Raffaele Cecco,Acclaim Entertainment,NTSC (N. America),1989-12,Action & Adventure,Everyone,1,21481102069,NES-CNROM,CYBERNOID: THE FIGHTING MACHINE,
NES-AE-USA,Dance Aerobics,Human Entertainment,Nintendo,NTSC (N. America),1989-03,Party,Everyone,1,45496630430,NES-SBROM,DANCE AEROBICS,
NES-HT-USA,Danny Sullivan's Indy Heat,Rare,Tradewest,NTSC (N. America),1992-08,Racing,Everyone,4,45496640033,NES-AMROM,DANNY SULLIVAN'S INDY HEAT,
NES-N8-USA,Darkman,Painting by Numbers,Ocean Software,NTSC (N. America),1991-10,Action & Adventure,Everyone,1,20295010027,NES-SLROM,DARKMAN,
NES-XY-USA,Dash Galaxy in the Alien Asylum,Beam Software,Data East,NTSC (N. America),1990-02,Action & Adventure,Everyone,1,13252002166,NES-CNROM,DASH GALAXY IN THE ALIEN ASYLUM,
NES-6D-USA,Day Dreamin' Davey,Sculptured Software,HAL America,NTSC (N. America),1992-06,Action & Adventure,Everyone,1,40458333107,NES-SLROM,DAY DREAMIN' DAVEY,
NES-YH-USA,Days of Thunder,Beam Software,Mindscape,NTSC (N. America),1990-10,Racing,Everyone,2,50047104827,NES-TKEPROM,DAYS OF THUNDER,
NES-DE-USA,Deadly Towers,"Lenar, Tamtex",Brøderbund,NTSC (N. America),1987-09,Strategy,Everyone,1,47956120406,NES-BNROM,DEADLY TOWERS,
NES-SB-USA,Defender II,Vid Kidz,HAL America,NTSC (N. America),1988-07,Action & Adventure,Everyone,1,40458200034,NES-NROM-128,DEFENDER II,
NES-U3-USA,Defender of the Crown,Beam Software,Ultra Games,NTSC (N. America),1989-07,Strategy,Everyone,1,83717120049,NES-SGROM,DEFENDER OF THE CROWN,
NES-DY-USA,Defenders of Dynatron City,Lucasfilm Games,JVC,NTSC (N. America),1992-07,Strategy,Everyone,2,9119920117,NES-TLROM,DEFENDERS OF DYNATRON CITY,
NES-DG-USA,Déjà Vu,Kemco,Kemco*Seika,NTSC (N. America),1990-12,Action & Adventure,Everyone,1,44499000110,NES-TKROM,DÉJÀ VU,
NES-DO-USA,Demon Sword,TOSE,Taito,NTSC (N. America),1990-01,Action & Adventure,Everyone,1,20588010093,NES-SL1ROM,DEMON SWORD,
NES-DF-USA,Desert Commander,Kemco,Kemco*Seika,NTSC (N. America),1989-06,Action & Adventure,Everyone,2,8.33E+11,NES-SKROM,DESERT COMMANDER,
NES-VW-USA,Destination Earthstar,Imagineering,Acclaim Entertainment,NTSC (N. America),1990-02,Action & Adventure,Everyone,1,21481102076,NES-CNROM,DESTINATION EARTHSTAR,
NES-YZ-USA,Destiny of an Emperor,Capcom,Capcom,NTSC (N. America),1990-09,Strategy,Everyone,1,13388110230,NES-SNROM,DESTINY OF AN EMPEROR,
UNR-06-USA,Devil World,Nintendo Research & Development 1,Unreleased,NTSC (N. America),N/A,Puzzle,N/A,N/A,N/A,N/A,DEVIL WORLD,
NES-3Y-USA,Dick Tracy,Realtime Associates,Bandai,NTSC (N. America),1990-08,Action & Adventure,Everyone,1,45557072704,NES-UNROM,DICK TRACY,
NES-57-USA,Die Hard,Pack-In-Video,Activision,NTSC (N. America),1992-01,Action & Adventure,Everyone,1,47875700116,NES-SLROM,DIE HARD,
NES-I2-USA,Dig Dug II: Trouble in Paradise,Namco,Bandai,NTSC (N. America),1989-12,Puzzle,Everyone,2,15500183689,NES-NROM-256,DIG DUG II: TROUBLE IN PARADISE,
NES-8D-USA,Digger T. Rock: Legend of the Lost City,Rare,Milton Bradley Company,NTSC (N. America),1990-12,Platformer,Everyone,1,32244041983,NES-AMROM,DIGGER T. ROCK: LEGEND OF THE LOST CITY,
NES-2Y-USA,Dirty Harry,Gray Matter Inc.,Mindscape,NTSC (N. America),1990-12,Action & Adventure,Everyone,1,50047104803,NES-TLROM,DIRTY HARRY,
UNR-07-USA,Disney's Aladdin,NMS Software,Unreleased,NTSC (N. America),N/A,Platformer,N/A,N/A,N/A,N/A,DISNEY'S ALADDIN,
UNR-08-USA,Disney's Beauty and the Beast,Probe Software,Unreleased,NTSC (N. America),N/A,Platformer,N/A,N/A,N/A,N/A,DISNEY'S BEAUTY AND THE BEAST,
NES-DZ-USA,Disney's Darkwing Duck,Capcom,Capcom,NTSC (N. America),1992-06,Action & Adventure,Everyone,1,52145800137,NES-SKEPROM,DISNEY'S DARKWING DUCK,
NES-JJ-USA,Disney's The Jungle Book,"Eurocom, Virgin Interactive",Virgin Interactive,NTSC (N. America),1994-08,Action & Adventure,Everyone,1,52145800137,NES-TLROM,DISNEY'S THE JUNGLE BOOK,
UNR-09-USA,Disney's The Lion King,Dark Technologies,Unreleased,NTSC (N. America),N/A,Action & Adventure,N/A,N/A,N/A,N/A,DISNEY'S THE LION KING,
NES-3U-USA,Disney's The Little Mermaid,Capcom,Capcom,NTSC (N. America),1991-07,Action & Adventure,Everyone,1,13388110278,NES-UNROM,DISNEY'S THE LITTLE MERMAID,
NES-DK-USA,Donkey Kong,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,NTSC (N. America),1986-06,Arcade,Everyone,2,6.30E+11,NES-NROM-128,DONKEY KONG,"1,130,000"
NES-DT-USA,Donkey Kong 3,Nintendo Research & Development 1,Nintendo,NTSC (N. America),1986-06,Arcade,Everyone,2,41545304925,NES-NROM-128,DONKEY KONG 3,
NES-DJ-USA,Donkey Kong Classics,Nintendo,Nintendo,NTSC (N. America),1988-10,Arcade,Everyone,2,45496630423,NES-CNROM,DONKEY KONG CLASSICS,"1,560,000"
NES-JR-USA,Donkey Kong Jr.,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,NTSC (N. America),1986-06,Arcade,Everyone,2,7.31E+11,NES-NROM-128,DONKEY KONG JR.,"1,110,000"
NES-CA-USA,Donkey Kong Jr. Math,Nintendo Research & Development 2,Nintendo,NTSC (N. America),1985-10-18,Educational,Everyone,2,7.31E+11,NES-NROM-128,DONKEY KONG JR. MATH,
NES-2D-USA,Double Dare,Rare,GameTek,NTSC (N. America),1990-04,Party,Everyone,2,43948590004,NES-AOROM,DOUBLE DARE,
NES-WD-USA,Double Dragon,Techn?s Japan,Tradewest,NTSC (N. America),1988-06,Action & Adventure,Everyone,2,31719198832,NES-SLROM,DOUBLE DRAGON,
NES-W2-USA,Double Dragon II: The Revenge,Techn?s Japan,Acclaim Entertainment,NTSC (N. America),1990-01,Action & Adventure,Everyone,2,40606538,NES-TL1ROM,DOUBLE DRAGON II: THE REVENGE,
NES-3W-USA,Double Dragon III: The Sacred Stones,Techn?s Japan,Acclaim Entertainment,NTSC (N. America),1991-02,Action & Adventure,Everyone,2,21481106050,NES-TLROM,DOUBLE DRAGON III: THE SACRED STONES,
NES-DW-USA,Double Dribble,Konami,Konami,NTSC (N. America),1987-09,Sports,Everyone,2,83717110057,NES-UNROM,DOUBLE DRIBBLE,
NES-DC-USA,Dr. Chaos,"Marionette, SRS",FCI,NTSC (N. America),1988-11,Action & Adventure,Everyone,1,22909100032,NES-UNROM,DR. CHAOS,
NES-JH-USA,Dr. Jekyll and Mr. Hyde,Advance Communication Company,Bandai,NTSC (N. America),1989-04,Platformer,Everyone,1,45557071004,NES-SFROM,DR. JEKYLL AND MR. HYDE,
NES-VU-USA,Dr. Mario,Nintendo Research & Development 1,Nintendo,NTSC (N. America),1990-10-01,Puzzle,Everyone,2,45496630621,NES-SEROM,DR. MARIO,"4,850,000"
NES-1D-USA,Dragon Fighter,Natsume,SOFEL,NTSC (N. America),1992-01,Fighting,Everyone,1,93295913018,NES-SLROM,DRAGON FIGHTER,
NES-DP-USA,Dragon Power,TOSE,Bandai,NTSC (N. America),1988-03,Action & Adventure,Everyone,1,45557873103,NES-GNROM,DRAGON POWER,"1,250,000"
NES-P4-USA,Dragon Spirit: The New Legend,Now Production,Bandai,NTSC (N. America),1990-06,Action & Adventure,Everyone,1,45557083007,NES-TLROM,DRAGON SPIRIT: THE NEW LEGEND,
NES-DQ-USA,Dragon Warrior,Chunsoft,Nintendo,NTSC (N. America),1989-08,RPG,Everyone,1,45496630379,NES-SAROM,DRAGON WARRIOR,"2,000,000"
NES-D2-USA,Dragon Warrior II,Chunsoft,Enix,NTSC (N. America),1990-09,RPG,Everyone,1,7.20E+11,NES-SNROM,DRAGON WARRIOR II,"2,550,000"
NES-D3-USA,Dragon Warrior III,Chunsoft,Enix,NTSC (N. America),1992-03,RPG,Everyone,1,7.20E+11,NES-SUROM,DRAGON WARRIOR III,"3,895,000"
NES-D4-USA,Dragon Warrior IV,Chunsoft,Enix,NTSC (N. America),1992-10,RPG,Everyone,1,7.20E+11,NES-SUROM,DRAGON WARRIOR IV,"3,180,000"
NES-L9-USA,Dragon's Lair,MotiveTime,CSG Imagesoft,NTSC (N. America),1990-12,Action & Adventure,Everyone,1,90451104020,NES-UNROM,DRAGON'S LAIR,
UNR-10-USA,Dropzone,Eurocom,Unreleased,NTSC (N. America),N/A,Shooter,N/A,N/A,N/A,N/A,DROPZONE,
NES-DH-USA,Duck Hunt,Nintendo Research & Development 1,Nintendo,NTSC (N. America),1985-10-18,Light-Gun,Everyone,2,79522653056,NES-NROM-128,DUCK HUNT,"28,310,000"
